Category,Activity,Start_Time
Extracurricular,Sports Practices/Games,17.82
Academic,Study Sessions,14.59
Academic,Exams/Quizzes,18.74
Personal,Birthdays/Anniversaries,14.86
Well-being,Exercise,6.12
Work,Work Meetings,16.74
Extracurricular,Club Meetings,20.15
Personal,Errands/Chores,18.78
Work,Work Meetings,16.66
Work,Work Meetings,15.26
Work,Part-time Job Shifts,11.87
Well-being,Exercise,6.69
Work,Part-time Job Shifts,10.75
Social,Parties/Gatherings,22.17
Work,Work Meetings,16.97
Work,Work Meetings,15.99
Extracurricular,Sports Practices/Games,16.76
Academic,Classes/Lectures,10.34
Extracurricular,Sports Practices/Games,16.24
Personal,Birthdays/Anniversaries,14.34
Personal,Doctor/Dentist Appointments,10.25
Social,Parties/Gatherings,21.44
Personal,Birthdays/Anniversaries,14.47
Academic,Classes/Lectures,9.73
Social,Family Events,14.86
Social,Family Events,14.5
Social,Family Events,14.97
Well-being,Meditation/Yoga,14.31
Well-being,Meditation/Yoga,14.86
Social,Family Events,14.46
Personal,Errands/Chores,18.45
Social,Family Events,14.98
Academic,Exams/Quizzes,19.34
Work,Part-time Job Shifts,12.11
Work,Work Meetings,15.98
Academic,Classes/Lectures,9.95
Social,Parties/Gatherings,21.4
Academic,Exams/Quizzes,18.58
Well-being,Meditation/Yoga,14.23
Personal,Birthdays/Anniversaries,14.53
Well-being,Exercise,6.2
Academic,Classes/Lectures,11.77
Social,Parties/Gatherings,22.51
Well-being,Exercise,7.6
Social,Family Events,14.44
Social,Family Events,14.22
Social,Family Events,14.49
Personal,Doctor/Dentist Appointments,11.64
Personal,Errands/Chores,18.38
Personal,Errands/Chores,19.14
Work,Part-time Job Shifts,12.14
Personal,Errands/Chores,18.31
Well-being,Meditation/Yoga,13.58
Academic,Study Sessions,14.45
Extracurricular,Club Meetings,20.54
Well-being,Exercise,6.58
Personal,Birthdays/Anniversaries,14.57
Academic,Classes/Lectures,9.72
Social,Parties/Gatherings,21.02
Work,Part-time Job Shifts,12.0
Extracurricular,Volunteer Activities,14.65
Work,Work Meetings,15.03
Work,Part-time Job Shifts,11.04
Work,Work Meetings,15.33
Work,Part-time Job Shifts,10.84
Social,Parties/Gatherings,22.26
Well-being,Meditation/Yoga,13.28
Well-being,Meditation/Yoga,13.56
Extracurricular,Sports Practices/Games,17.21
Personal,Errands/Chores,18.03
Extracurricular,Sports Practices/Games,17.59
Work,Part-time Job Shifts,12.66
Academic,Classes/Lectures,9.83
Social,Parties/Gatherings,21.53
Social,Family Events,14.7
Social,Parties/Gatherings,21.81
Extracurricular,Sports Practices/Games,17.23
Well-being,Meditation/Yoga,14.45
Extracurricular,Volunteer Activities,14.84
Social,Family Events,14.2
Social,Family Events,14.47
Well-being,Meditation/Yoga,13.65
Social,Parties/Gatherings,22.11
Work,Part-time Job Shifts,10.92
Academic,Exams/Quizzes,19.36
Work,Work Meetings,16.68
Well-being,Exercise,7.34
Extracurricular,Volunteer Activities,14.19
Extracurricular,Sports Practices/Games,16.24
Work,Work Meetings,16.49
Personal,Birthdays/Anniversaries,14.08
Work,Part-time Job Shifts,12.4
Personal,Errands/Chores,18.31
Work,Part-time Job Shifts,10.8
Work,Part-time Job Shifts,12.92
Work,Part-time Job Shifts,11.99
Social,Family Events,14.48
Social,Family Events,14.48
Extracurricular,Volunteer Activities,14.06
Academic,Classes/Lectures,8.82
Extracurricular,Club Meetings,20.54
Social,Parties/Gatherings,22.1
Well-being,Meditation/Yoga,13.9
Social,Family Events,14.5
Academic,Study Sessions,13.87
Well-being,Meditation/Yoga,13.12
Work,Part-time Job Shifts,12.26
Work,Part-time Job Shifts,11.27
Extracurricular,Sports Practices/Games,17.46
Well-being,Exercise,6.51
Work,Part-time Job Shifts,12.39
Extracurricular,Sports Practices/Games,16.35
Personal,Birthdays/Anniversaries,14.38
Extracurricular,Volunteer Activities,14.49
Work,Work Meetings,15.44
Extracurricular,Sports Practices/Games,16.41
Well-being,Exercise,6.34
Extracurricular,Club Meetings,20.17
Well-being,Exercise,6.27
Social,Family Events,14.02
Personal,Errands/Chores,18.87
Social,Family Events,14.59
Well-being,Exercise,6.27
Work,Part-time Job Shifts,12.58
Well-being,Exercise,6.07
Extracurricular,Volunteer Activities,14.74
Work,Part-time Job Shifts,12.75
Academic,Study Sessions,13.06
Social,Parties/Gatherings,22.37
Personal,Errands/Chores,18.35
Personal,Doctor/Dentist Appointments,10.55
Academic,Classes/Lectures,10.41
Social,Family Events,14.7
Personal,Errands/Chores,19.03
Work,Work Meetings,16.39
Extracurricular,Sports Practices/Games,17.93
Academic,Exams/Quizzes,19.57
Personal,Doctor/Dentist Appointments,11.79
Work,Part-time Job Shifts,9.09
Social,Parties/Gatherings,21.84
Academic,Classes/Lectures,9.14
Personal,Birthdays/Anniversaries,14.45
Well-being,Meditation/Yoga,14.17
Personal,Errands/Chores,19.07
Personal,Doctor/Dentist Appointments,11.17
Personal,Birthdays/Anniversaries,14.8
Personal,Errands/Chores,19.78
Social,Family Events,14.41
Academic,Classes/Lectures,8.12
Social,Parties/Gatherings,21.96
Well-being,Meditation/Yoga,14.4
Academic,Exams/Quizzes,18.93
Academic,Study Sessions,14.43
Well-being,Exercise,6.21
Well-being,Exercise,6.24
Well-being,Meditation/Yoga,14.84
Personal,Birthdays/Anniversaries,14.32
Well-being,Meditation/Yoga,13.08
Academic,Exams/Quizzes,18.93
Social,Family Events,14.42
Social,Parties/Gatherings,21.66
Social,Parties/Gatherings,22.9
Social,Parties/Gatherings,22.0
Social,Parties/Gatherings,21.95
Personal,Errands/Chores,19.93
Academic,Classes/Lectures,11.28
Personal,Birthdays/Anniversaries,14.47
Social,Parties/Gatherings,22.8
Well-being,Meditation/Yoga,13.99
Extracurricular,Club Meetings,20.64
Personal,Doctor/Dentist Appointments,10.46
Work,Part-time Job Shifts,11.4
Social,Parties/Gatherings,21.84
Well-being,Exercise,7.62
Social,Parties/Gatherings,22.14
Personal,Errands/Chores,19.27
Work,Part-time Job Shifts,12.03
Personal,Doctor/Dentist Appointments,9.26
Personal,Errands/Chores,18.51
Extracurricular,Sports Practices/Games,16.69
Academic,Classes/Lectures,10.23
Academic,Classes/Lectures,9.45
Extracurricular,Sports Practices/Games,17.26
Social,Parties/Gatherings,21.57
Work,Part-time Job Shifts,11.65
Extracurricular,Club Meetings,19.68
Extracurricular,Club Meetings,19.53
Extracurricular,Sports Practices/Games,16.35
Well-being,Exercise,6.88
Social,Family Events,14.6
Social,Parties/Gatherings,22.74
Social,Parties/Gatherings,22.86
Well-being,Exercise,7.57
Academic,Exams/Quizzes,18.79
Personal,Doctor/Dentist Appointments,10.12
Personal,Doctor/Dentist Appointments,9.6
Well-being,Exercise,7.8
Work,Part-time Job Shifts,9.79
Well-being,Exercise,7.32
Academic,Classes/Lectures,8.03
Personal,Errands/Chores,18.02
Well-being,Meditation/Yoga,13.22
Extracurricular,Sports Practices/Games,16.16
Extracurricular,Volunteer Activities,14.46
Extracurricular,Club Meetings,19.04
Social,Parties/Gatherings,22.03
Social,Parties/Gatherings,22.65
Well-being,Meditation/Yoga,13.75
Extracurricular,Club Meetings,19.15
Well-being,Exercise,7.74
Social,Parties/Gatherings,22.25
Personal,Doctor/Dentist Appointments,9.17
Academic,Classes/Lectures,10.0
Well-being,Meditation/Yoga,13.0
Work,Work Meetings,16.87
Personal,Doctor/Dentist Appointments,10.75
Academic,Classes/Lectures,10.51
Well-being,Exercise,7.09
Academic,Classes/Lectures,8.47
Personal,Birthdays/Anniversaries,14.53
Work,Part-time Job Shifts,12.88
Personal,Doctor/Dentist Appointments,11.27
Personal,Errands/Chores,18.84
Personal,Birthdays/Anniversaries,14.59
Well-being,Meditation/Yoga,14.49
Work,Part-time Job Shifts,11.5
Well-being,Meditation/Yoga,13.04
Work,Work Meetings,16.07
Extracurricular,Club Meetings,19.54
Social,Family Events,14.1
Extracurricular,Volunteer Activities,14.02
Extracurricular,Sports Practices/Games,17.74
Academic,Exams/Quizzes,18.81
Social,Family Events,14.85
Social,Parties/Gatherings,22.71
Extracurricular,Club Meetings,20.71
Personal,Doctor/Dentist Appointments,11.97
Personal,Birthdays/Anniversaries,14.93
Extracurricular,Volunteer Activities,14.22
Academic,Exams/Quizzes,19.47
Extracurricular,Club Meetings,20.84
Academic,Classes/Lectures,11.43
Academic,Study Sessions,14.46
Academic,Classes/Lectures,8.67
Extracurricular,Volunteer Activities,14.68
Well-being,Meditation/Yoga,13.96
Social,Family Events,14.04
Well-being,Exercise,6.22
Well-being,Exercise,6.72
Extracurricular,Sports Practices/Games,17.42
Personal,Doctor/Dentist Appointments,10.87
Academic,Exams/Quizzes,19.78
Social,Family Events,14.28
Academic,Study Sessions,14.3
Well-being,Meditation/Yoga,13.37
Well-being,Meditation/Yoga,14.61
Personal,Errands/Chores,19.07
Academic,Exams/Quizzes,19.51
Work,Part-time Job Shifts,11.43
Extracurricular,Volunteer Activities,14.12
Work,Work Meetings,16.94
Work,Work Meetings,15.75
Academic,Classes/Lectures,9.34
Academic,Exams/Quizzes,19.45
Extracurricular,Volunteer Activities,14.1
Work,Work Meetings,15.73
Social,Parties/Gatherings,22.88
Personal,Errands/Chores,19.45
Well-being,Exercise,6.41
Social,Parties/Gatherings,21.62
Academic,Classes/Lectures,8.85
Well-being,Meditation/Yoga,14.17
Work,Work Meetings,16.2
Academic,Exams/Quizzes,18.35
Social,Family Events,14.81
Personal,Errands/Chores,19.36
Work,Work Meetings,15.92
Well-being,Exercise,6.68
Extracurricular,Volunteer Activities,14.28
Work,Part-time Job Shifts,10.24
Personal,Birthdays/Anniversaries,14.42
Well-being,Meditation/Yoga,13.55
Personal,Birthdays/Anniversaries,14.76
Well-being,Meditation/Yoga,14.89
Personal,Birthdays/Anniversaries,14.46
Personal,Errands/Chores,18.98
Work,Work Meetings,15.22
Academic,Study Sessions,13.69
Work,Work Meetings,15.87
Social,Parties/Gatherings,22.59
Work,Work Meetings,15.33
Academic,Classes/Lectures,11.3
Personal,Errands/Chores,19.34
Work,Work Meetings,16.91
Extracurricular,Club Meetings,20.69
Personal,Doctor/Dentist Appointments,9.59
Social,Parties/Gatherings,21.96
Personal,Errands/Chores,18.22
Social,Parties/Gatherings,22.99
Extracurricular,Club Meetings,19.1
Social,Parties/Gatherings,21.54
Extracurricular,Club Meetings,19.03
Social,Family Events,14.56
Personal,Doctor/Dentist Appointments,10.31
Extracurricular,Volunteer Activities,14.6
Academic,Exams/Quizzes,18.19
Personal,Doctor/Dentist Appointments,9.61
Academic,Study Sessions,13.22
Personal,Doctor/Dentist Appointments,11.16
Well-being,Exercise,7.07
Academic,Classes/Lectures,11.54
Academic,Classes/Lectures,10.2
Well-being,Meditation/Yoga,14.81
Work,Part-time Job Shifts,12.38
Work,Work Meetings,16.99
Academic,Study Sessions,14.19
Academic,Classes/Lectures,10.92
Personal,Errands/Chores,18.29
Academic,Classes/Lectures,9.2
Academic,Study Sessions,14.48
Academic,Study Sessions,13.87
Academic,Study Sessions,14.28
Extracurricular,Volunteer Activities,14.86
Personal,Doctor/Dentist Appointments,9.14
Social,Parties/Gatherings,21.1
Academic,Study Sessions,13.7
Social,Parties/Gatherings,22.13
Well-being,Meditation/Yoga,14.93
Well-being,Meditation/Yoga,14.44
Academic,Study Sessions,14.9
Extracurricular,Club Meetings,19.48
Academic,Classes/Lectures,10.21
Work,Work Meetings,15.41
Work,Work Meetings,15.3
Social,Family Events,14.8
Extracurricular,Sports Practices/Games,17.75
Well-being,Exercise,7.8
Well-being,Exercise,7.21
Well-being,Meditation/Yoga,14.29
Academic,Study Sessions,14.3
Well-being,Exercise,7.81
Extracurricular,Sports Practices/Games,17.1
Academic,Classes/Lectures,11.73
Extracurricular,Club Meetings,20.52
Well-being,Meditation/Yoga,14.52
Personal,Birthdays/Anniversaries,14.5
Social,Parties/Gatherings,21.68
Social,Parties/Gatherings,21.01
Academic,Study Sessions,14.24
Work,Part-time Job Shifts,11.42
Academic,Classes/Lectures,9.38
Personal,Doctor/Dentist Appointments,10.32
Personal,Errands/Chores,18.94
Social,Parties/Gatherings,21.64
Personal,Doctor/Dentist Appointments,9.45
Personal,Doctor/Dentist Appointments,11.89
Personal,Birthdays/Anniversaries,14.79
Work,Work Meetings,15.65
Academic,Classes/Lectures,11.7
Well-being,Meditation/Yoga,14.88
Personal,Birthdays/Anniversaries,14.14
Extracurricular,Sports Practices/Games,16.55
Work,Part-time Job Shifts,10.41
Work,Work Meetings,15.68
Work,Part-time Job Shifts,11.79
Academic,Exams/Quizzes,18.13
Personal,Birthdays/Anniversaries,14.73
Social,Family Events,14.22
Extracurricular,Club Meetings,20.75
Extracurricular,Club Meetings,20.68
Extracurricular,Sports Practices/Games,16.59
Extracurricular,Club Meetings,19.23
Social,Family Events,14.38
Work,Part-time Job Shifts,10.04
Extracurricular,Volunteer Activities,14.34
Social,Parties/Gatherings,21.29
Personal,Birthdays/Anniversaries,14.15
Social,Family Events,14.65
Well-being,Exercise,7.43
Personal,Birthdays/Anniversaries,14.19
Academic,Classes/Lectures,8.14
Work,Work Meetings,15.47
Work,Work Meetings,16.65
Well-being,Meditation/Yoga,13.68
Academic,Exams/Quizzes,18.98
Social,Parties/Gatherings,21.6
Personal,Doctor/Dentist Appointments,9.45
Personal,Errands/Chores,19.1
Personal,Doctor/Dentist Appointments,11.59
Social,Family Events,14.93
Well-being,Meditation/Yoga,14.28
Extracurricular,Club Meetings,20.55
Well-being,Meditation/Yoga,13.99
Work,Work Meetings,15.99
Personal,Doctor/Dentist Appointments,10.5
Work,Part-time Job Shifts,11.41
Extracurricular,Club Meetings,19.42
Personal,Doctor/Dentist Appointments,10.77
Extracurricular,Volunteer Activities,14.35
Academic,Exams/Quizzes,18.51
Work,Part-time Job Shifts,12.23
Extracurricular,Club Meetings,19.91
Social,Family Events,14.66
Social,Family Events,14.65
Personal,Birthdays/Anniversaries,14.57
Academic,Study Sessions,14.46
Social,Family Events,14.93
Personal,Errands/Chores,18.06
Well-being,Exercise,6.79
Work,Work Meetings,15.51
Extracurricular,Sports Practices/Games,16.93
Extracurricular,Volunteer Activities,14.74
Work,Part-time Job Shifts,9.21
Personal,Doctor/Dentist Appointments,9.49
Extracurricular,Club Meetings,20.34
Academic,Classes/Lectures,9.8
Extracurricular,Club Meetings,19.75
Extracurricular,Sports Practices/Games,17.75
Well-being,Exercise,7.03
Extracurricular,Club Meetings,20.2
Academic,Classes/Lectures,10.36
Work,Part-time Job Shifts,12.06
Extracurricular,Volunteer Activities,14.37
Extracurricular,Sports Practices/Games,17.3
Social,Parties/Gatherings,22.99
Work,Part-time Job Shifts,10.67
Work,Work Meetings,16.3
Well-being,Exercise,7.81
Well-being,Meditation/Yoga,14.48
Personal,Doctor/Dentist Appointments,11.19
Personal,Errands/Chores,19.44
Academic,Exams/Quizzes,18.35
Social,Parties/Gatherings,21.71
Well-being,Meditation/Yoga,14.39
Academic,Study Sessions,14.71
Personal,Doctor/Dentist Appointments,9.75
Social,Parties/Gatherings,22.11
Social,Parties/Gatherings,21.82
Work,Part-time Job Shifts,12.65
Personal,Birthdays/Anniversaries,14.47
Academic,Study Sessions,13.26
Personal,Errands/Chores,19.14
Extracurricular,Volunteer Activities,14.75
Work,Part-time Job Shifts,12.02
Personal,Birthdays/Anniversaries,14.42
Academic,Exams/Quizzes,19.13
Well-being,Meditation/Yoga,14.24
Extracurricular,Volunteer Activities,14.03
Personal,Birthdays/Anniversaries,14.23
Well-being,Exercise,7.48
Work,Part-time Job Shifts,9.9
Work,Work Meetings,15.44
Work,Work Meetings,16.79
Work,Part-time Job Shifts,12.15
Well-being,Meditation/Yoga,13.74
Extracurricular,Volunteer Activities,14.87
Work,Work Meetings,15.33
Extracurricular,Volunteer Activities,14.45
Work,Work Meetings,16.07
Personal,Birthdays/Anniversaries,14.21
Academic,Study Sessions,14.99
Work,Work Meetings,15.27
Well-being,Meditation/Yoga,13.9
Extracurricular,Club Meetings,20.43
Personal,Birthdays/Anniversaries,14.28
Personal,Birthdays/Anniversaries,14.08
Well-being,Exercise,7.55
Social,Family Events,14.13
Well-being,Meditation/Yoga,14.11
Well-being,Exercise,7.04
Work,Part-time Job Shifts,12.23
Personal,Birthdays/Anniversaries,14.95
Extracurricular,Sports Practices/Games,16.36
Social,Parties/Gatherings,22.06
Well-being,Exercise,7.32
Social,Parties/Gatherings,21.85
Well-being,Meditation/Yoga,14.48
Well-being,Exercise,6.98
Academic,Exams/Quizzes,19.7
Personal,Birthdays/Anniversaries,14.04
Extracurricular,Sports Practices/Games,16.19
Work,Part-time Job Shifts,11.64
Well-being,Exercise,7.05
Personal,Errands/Chores,19.74
Social,Family Events,14.51
Extracurricular,Volunteer Activities,14.11
Social,Family Events,14.25
Well-being,Exercise,6.95
Personal,Birthdays/Anniversaries,14.32
Personal,Birthdays/Anniversaries,14.77
Well-being,Exercise,7.19
Well-being,Meditation/Yoga,14.57
Work,Part-time Job Shifts,12.05
Personal,Birthdays/Anniversaries,14.65
Well-being,Meditation/Yoga,14.68
Social,Parties/Gatherings,22.65
Personal,Birthdays/Anniversaries,14.25
Well-being,Meditation/Yoga,13.5
Well-being,Meditation/Yoga,13.58
Social,Parties/Gatherings,21.81
Personal,Birthdays/Anniversaries,14.94
Well-being,Exercise,7.8
Academic,Exams/Quizzes,19.51
Well-being,Meditation/Yoga,14.23
Well-being,Meditation/Yoga,13.19
Work,Part-time Job Shifts,9.36
Personal,Birthdays/Anniversaries,14.3
Personal,Errands/Chores,19.21
Personal,Birthdays/Anniversaries,14.83
Social,Family Events,14.8
Work,Part-time Job Shifts,12.89
Personal,Birthdays/Anniversaries,14.73
Extracurricular,Club Meetings,20.54
Extracurricular,Club Meetings,20.85
Academic,Study Sessions,14.63
Work,Work Meetings,15.43
Work,Part-time Job Shifts,12.61
Work,Work Meetings,16.79
Extracurricular,Volunteer Activities,14.58
Work,Work Meetings,15.99
Work,Work Meetings,15.55
Work,Part-time Job Shifts,10.28
Social,Parties/Gatherings,21.53
Personal,Birthdays/Anniversaries,14.09
Work,Part-time Job Shifts,12.54
Extracurricular,Sports Practices/Games,17.59
Well-being,Meditation/Yoga,13.66
Extracurricular,Volunteer Activities,14.52
Social,Parties/Gatherings,22.08
Extracurricular,Club Meetings,20.69
Extracurricular,Sports Practices/Games,17.41
Work,Work Meetings,16.92
Extracurricular,Sports Practices/Games,17.53
Work,Part-time Job Shifts,12.94
Personal,Doctor/Dentist Appointments,9.35
Well-being,Exercise,6.33
Academic,Study Sessions,14.61
Well-being,Exercise,6.95
Social,Parties/Gatherings,22.18
Work,Part-time Job Shifts,9.87
Well-being,Meditation/Yoga,13.15
Personal,Birthdays/Anniversaries,14.65
Well-being,Meditation/Yoga,14.58
Well-being,Meditation/Yoga,14.82
Personal,Errands/Chores,19.9
Academic,Exams/Quizzes,19.05
Extracurricular,Club Meetings,20.59
Well-being,Meditation/Yoga,13.47
Extracurricular,Volunteer Activities,14.09
Academic,Exams/Quizzes,19.89
Social,Parties/Gatherings,22.34
Extracurricular,Sports Practices/Games,16.39
Extracurricular,Club Meetings,19.98
Social,Family Events,14.59
Extracurricular,Sports Practices/Games,16.61
Extracurricular,Volunteer Activities,14.14
Well-being,Meditation/Yoga,14.16
Well-being,Exercise,6.53
Well-being,Meditation/Yoga,13.32
Extracurricular,Volunteer Activities,14.98
Well-being,Meditation/Yoga,13.06
Extracurricular,Volunteer Activities,14.44
Academic,Exams/Quizzes,19.38
Social,Family Events,14.66
Well-being,Meditation/Yoga,14.53
Extracurricular,Sports Practices/Games,16.5
Personal,Doctor/Dentist Appointments,9.71
Social,Parties/Gatherings,21.29
Social,Parties/Gatherings,21.49
Personal,Birthdays/Anniversaries,14.75
Social,Family Events,14.27
Extracurricular,Club Meetings,20.92
Work,Work Meetings,15.95
Personal,Errands/Chores,19.25
Social,Parties/Gatherings,21.36
Academic,Study Sessions,13.75
Academic,Classes/Lectures,11.71
Extracurricular,Club Meetings,20.67
Extracurricular,Volunteer Activities,14.96
Extracurricular,Sports Practices/Games,17.37
Well-being,Meditation/Yoga,14.78
Well-being,Meditation/Yoga,13.44
Personal,Errands/Chores,18.71
Personal,Birthdays/Anniversaries,14.97
Work,Part-time Job Shifts,12.09
Well-being,Meditation/Yoga,14.44
Personal,Doctor/Dentist Appointments,9.43
Academic,Study Sessions,14.69
Extracurricular,Sports Practices/Games,17.47
Academic,Classes/Lectures,9.24
Well-being,Exercise,7.66
Academic,Exams/Quizzes,19.57
Extracurricular,Sports Practices/Games,17.34
Well-being,Exercise,7.98
Extracurricular,Volunteer Activities,14.88
Well-being,Meditation/Yoga,14.78
Well-being,Meditation/Yoga,13.01
Academic,Study Sessions,13.78
Extracurricular,Club Meetings,20.92
Academic,Study Sessions,14.56
Social,Parties/Gatherings,22.55
Social,Family Events,14.33
Well-being,Meditation/Yoga,14.21
Social,Parties/Gatherings,22.33
Social,Family Events,14.28
Well-being,Exercise,7.35
Well-being,Meditation/Yoga,14.09
Extracurricular,Volunteer Activities,14.8
Academic,Exams/Quizzes,18.18
Well-being,Exercise,7.58
Personal,Errands/Chores,19.8
Work,Part-time Job Shifts,12.42
Personal,Doctor/Dentist Appointments,10.18
Academic,Classes/Lectures,10.01
Extracurricular,Volunteer Activities,14.3
Work,Work Meetings,15.34
Academic,Classes/Lectures,8.21
Social,Family Events,14.09
Well-being,Meditation/Yoga,13.62
Well-being,Exercise,7.68
Academic,Classes/Lectures,8.77
Social,Parties/Gatherings,21.07
Extracurricular,Club Meetings,20.63
Extracurricular,Club Meetings,20.06
Personal,Doctor/Dentist Appointments,9.89
Extracurricular,Sports Practices/Games,17.96
Work,Part-time Job Shifts,9.39
Social,Family Events,14.09
Social,Family Events,14.97
Work,Part-time Job Shifts,11.13
Personal,Doctor/Dentist Appointments,9.07
Academic,Classes/Lectures,11.56
Extracurricular,Volunteer Activities,14.06
Social,Parties/Gatherings,21.62
Academic,Classes/Lectures,9.13
Personal,Errands/Chores,19.7
Extracurricular,Club Meetings,20.18
Academic,Exams/Quizzes,19.04
Work,Work Meetings,16.87
Work,Work Meetings,16.52
Well-being,Meditation/Yoga,14.26
Personal,Birthdays/Anniversaries,14.65
Work,Work Meetings,15.81
Extracurricular,Sports Practices/Games,16.84
Well-being,Meditation/Yoga,13.1
Well-being,Exercise,6.18
Personal,Doctor/Dentist Appointments,10.94
Extracurricular,Club Meetings,20.03
Well-being,Meditation/Yoga,13.31
Extracurricular,Volunteer Activities,14.03
Personal,Errands/Chores,18.55
Personal,Doctor/Dentist Appointments,10.7
Social,Parties/Gatherings,21.78
Social,Family Events,14.6
Personal,Birthdays/Anniversaries,14.67
Personal,Errands/Chores,19.45
Extracurricular,Club Meetings,19.22
Personal,Doctor/Dentist Appointments,9.3
Work,Part-time Job Shifts,12.59
Well-being,Exercise,6.88
Work,Part-time Job Shifts,12.14
Academic,Classes/Lectures,8.15
Work,Work Meetings,15.36
Social,Parties/Gatherings,22.39
Social,Parties/Gatherings,21.73
Extracurricular,Sports Practices/Games,17.33
Academic,Study Sessions,13.46
Well-being,Exercise,7.44
Academic,Study Sessions,13.71
Extracurricular,Volunteer Activities,14.93
Social,Family Events,14.24
Academic,Classes/Lectures,11.74
Personal,Errands/Chores,19.4
Academic,Study Sessions,14.58
Academic,Exams/Quizzes,18.7
Academic,Exams/Quizzes,18.29
Personal,Errands/Chores,19.92
Social,Family Events,14.27
Well-being,Meditation/Yoga,13.19
Personal,Birthdays/Anniversaries,14.19
Academic,Classes/Lectures,11.87
Extracurricular,Club Meetings,19.72
Extracurricular,Club Meetings,19.38
Personal,Errands/Chores,18.68
Well-being,Meditation/Yoga,14.51
Academic,Classes/Lectures,9.03
Academic,Exams/Quizzes,18.46
Work,Part-time Job Shifts,11.47
Social,Family Events,14.28
Social,Parties/Gatherings,21.61
Well-being,Exercise,6.57
Academic,Study Sessions,13.23
Well-being,Exercise,7.9
Personal,Doctor/Dentist Appointments,10.31
Academic,Classes/Lectures,9.36
Work,Work Meetings,16.97
Academic,Classes/Lectures,8.24
Academic,Study Sessions,14.92
Work,Work Meetings,16.44
Academic,Study Sessions,13.23
Social,Parties/Gatherings,21.38
Extracurricular,Sports Practices/Games,16.09
Work,Work Meetings,16.5
Social,Family Events,14.67
Well-being,Meditation/Yoga,13.82
Well-being,Meditation/Yoga,13.41
Academic,Classes/Lectures,11.92
Extracurricular,Sports Practices/Games,16.1
Personal,Errands/Chores,18.69
Well-being,Meditation/Yoga,14.9
Academic,Classes/Lectures,9.83
Academic,Classes/Lectures,9.63
Social,Family Events,14.23
Well-being,Exercise,6.16
Academic,Classes/Lectures,8.03
Personal,Birthdays/Anniversaries,14.51
Well-being,Meditation/Yoga,14.57
Extracurricular,Club Meetings,20.6
Extracurricular,Club Meetings,19.02
Academic,Study Sessions,14.13
Social,Family Events,14.16
Work,Part-time Job Shifts,11.17
Social,Parties/Gatherings,22.36
Personal,Birthdays/Anniversaries,14.27
Extracurricular,Volunteer Activities,14.69
Personal,Birthdays/Anniversaries,14.47
Academic,Classes/Lectures,8.12
Social,Family Events,14.07
Extracurricular,Sports Practices/Games,17.07
Extracurricular,Sports Practices/Games,17.74
Personal,Birthdays/Anniversaries,14.58
Personal,Errands/Chores,19.81
Well-being,Exercise,7.37
Personal,Errands/Chores,19.05
Social,Family Events,14.94
Work,Work Meetings,15.75
Academic,Classes/Lectures,11.88
Social,Parties/Gatherings,21.19
Social,Parties/Gatherings,22.46
Personal,Birthdays/Anniversaries,14.95
Well-being,Meditation/Yoga,14.06
Personal,Errands/Chores,18.95
Extracurricular,Club Meetings,19.66
Personal,Errands/Chores,19.01
Work,Work Meetings,16.42
Academic,Classes/Lectures,10.07
Work,Work Meetings,15.14
Well-being,Exercise,6.21
Extracurricular,Volunteer Activities,14.32
Social,Parties/Gatherings,22.28
Personal,Doctor/Dentist Appointments,10.55
Personal,Errands/Chores,18.09
Academic,Classes/Lectures,9.82
Personal,Errands/Chores,19.41
Work,Work Meetings,15.08
Work,Part-time Job Shifts,9.47
Academic,Study Sessions,14.87
Personal,Birthdays/Anniversaries,14.1
Social,Family Events,14.62
Well-being,Meditation/Yoga,14.46
Well-being,Exercise,7.66
Well-being,Meditation/Yoga,14.55
Personal,Birthdays/Anniversaries,14.96
Extracurricular,Sports Practices/Games,16.5
Personal,Errands/Chores,18.86
Personal,Errands/Chores,18.12
Extracurricular,Volunteer Activities,14.65
Academic,Classes/Lectures,8.34
Academic,Exams/Quizzes,19.65
Work,Part-time Job Shifts,9.39
Extracurricular,Club Meetings,19.31
Extracurricular,Volunteer Activities,14.97
Work,Work Meetings,15.7
Well-being,Exercise,6.82
Academic,Exams/Quizzes,18.68
Personal,Doctor/Dentist Appointments,9.44
Social,Parties/Gatherings,22.85
Well-being,Exercise,6.76
Personal,Doctor/Dentist Appointments,11.05
Social,Parties/Gatherings,21.44
Academic,Classes/Lectures,8.51
Personal,Errands/Chores,19.36
Academic,Study Sessions,14.59
Personal,Doctor/Dentist Appointments,11.87
Academic,Classes/Lectures,9.31
Social,Parties/Gatherings,21.29
Work,Part-time Job Shifts,10.74
Personal,Errands/Chores,19.33
Well-being,Exercise,7.69
Extracurricular,Volunteer Activities,14.2
Extracurricular,Volunteer Activities,14.64
Work,Work Meetings,16.16
Social,Parties/Gatherings,22.53
Work,Work Meetings,15.8
Personal,Doctor/Dentist Appointments,9.78
Well-being,Exercise,6.39
Extracurricular,Club Meetings,19.27
Work,Part-time Job Shifts,12.58
Work,Work Meetings,16.89
Well-being,Exercise,6.33
Personal,Birthdays/Anniversaries,14.13
Well-being,Exercise,7.77
Academic,Classes/Lectures,8.52
Well-being,Meditation/Yoga,13.78
Social,Family Events,14.5
Academic,Classes/Lectures,8.25
Personal,Doctor/Dentist Appointments,11.31
